Parameter,Value,Description
Reweighing Strength (λ),Standard,Kamiran-Calders reweighing multiplier applied to training sample weights
α_SR (Selection Rate),0.6,Weight for selection-rate-equalising threshold in per-group optimisation
α_TPR (True Positive Rate),0.8,Weight for TPR-equalising threshold in per-group optimisation
α_PPV (Positive Pred. Value),0.4,Weight for PPV-equalising threshold in per-group optimisation
Threshold Strategy,Triple-Objective Blend,Per-group threshold = 0.5 + α_SR*(sr_t−0.5) + α_TPR*(tpr_t−0.5) + α_PPV*(ppv_t−0.5)
Group Granularity,RACE × AGE × SEX,Thresholds optimised at intersection of 3 protected attributes
Total Candidates Evaluated,672,8 α_SR × 4 α_TPR × 3 α_PPV × 7 models = 672 combinations
Candidates with All DI ≥ 0.80,51,Candidates meeting universal DI fairness threshold
Selection Criterion,Max Total_Fair → Age_Fair → Min |EOPP_Age| → Race_Fair → Min Acc_Drop,"Lexicographic: maximise fair verdicts, minimise Age EOPP, then minimise accuracy loss"
Post-hoc Fine-tuning,TPR-equalising threshold adjustment,Per-age-bin thresholds adjusted to reduce EOPP while keeping all 4 DI ≥ 0.80
