Metric,Attribute,Canonical_Threshold,Direction,Notebook_Matches,Generate_Script_Matches
DI,RACE,0.8,above,True,True
DI,SEX,0.8,above,True,True
DI,ETHNICITY,0.8,above,True,True
DI,AGE_GROUP,0.8,above,True,True
SPD,RACE,0.1,below,True,True
SPD,SEX,0.1,below,True,True
SPD,ETHNICITY,0.1,below,True,True
SPD,AGE_GROUP,0.1,below,True,True
EOPP,RACE,0.1,below,True,False
EOPP,SEX,0.1,below,True,False
EOPP,ETHNICITY,0.1,below,True,False
EOPP,AGE_GROUP,0.1,below,True,False
EOD,RACE,0.1,below,True,False
EOD,SEX,0.1,below,True,False
EOD,ETHNICITY,0.1,below,True,False
EOD,AGE_GROUP,0.1,below,True,False
TI,RACE,0.1,below,True,True
TI,SEX,0.1,below,True,True
TI,ETHNICITY,0.1,below,True,True
TI,AGE_GROUP,0.1,below,True,True
PP,RACE,0.1,below,True,True
PP,SEX,0.1,below,True,True
PP,ETHNICITY,0.1,below,True,True
PP,AGE_GROUP,0.1,below,True,True
CAL,RACE,0.05,below,True,False
CAL,SEX,0.05,below,True,False
CAL,ETHNICITY,0.05,below,True,False
CAL,AGE_GROUP,0.05,below,True,False
